City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Esso,RU,2022-03-18 20:49:11,55.9333,158.7,8.85,96,95,4.63
112,The Valley,AI,2022-03-18 20:49:12,18.217,-63.0578,84.06,65,20,16.11
113,Biak,ID,2022-03-18 20:49:12,-0.9131,122.8766,76.68,82,100,2.68
114,Klaksvik,FO,2022-03-18 20:49:12,62.2266,-6.589,49.12,84,100,42.26
115,Tiksi,RU,2022-03-18 20:49:13,71.6872,128.8694,2.59,77,100,21.07
116,Makakilo City,US,2022-03-18 20:47:34,21.3469,-158.0858,80.92,52,40,11.5
117,Hithadhoo,MV,2022-03-18 20:49:13,-0.6,73.0833,83.28,74,41,14.52
118,Gigmoto,PH,2022-03-18 20:49:13,13.7796,124.39,79.21,88,93,4.79
119,Ferme-Neuve,CA,2022-03-18 20:49:13,46.7001,-75.4493,36.59,91,100,6.08
120,Carsamba,TR,2022-03-18 20:49:14,41.1989,36.7219,31.75,93,75,9.22
121,Yakeshi,CN,2022-03-18 20:49:14,49.2833,120.7333,-19.35,100,84,1.28
122,Imeni Poliny Osipenko,RU,2022-03-18 20:49:14,52.4201,136.4853,0.28,100,93,3.36
123,Port Hedland,AU,2022-03-18 20:49:15,-20.3167,118.5667,80.65,78,48,0.0
124,Jamestown,US,2022-03-18 20:44:46,42.097,-79.2353,67.64,37,75,5.75
125,Dehui,CN,2022-03-18 20:49:15,44.5333,125.7,15.46,90,100,9.13
126,Bela Palanka,RS,2022-03-18 20:49:15,43.2183,22.3111,34.39,59,0,4.56
127,Sambava,MG,2022-03-18 20:49:15,-14.2667,50.1667,78.24,91,100,3.89
128,Port Blair,IN,2022-03-18 20:49:16,11.6667,92.75,77.04,88,100,0.0
129,San Andres,CO,2022-03-18 20:49:16,12.5847,-81.7006,84.22,74,40,13.8
130,Talnakh,RU,2022-03-18 20:49:16,69.4865,88.3972,20.21,96,99,6.44
131,Katangli,RU,2022-03-18 20:49:17,51.7102,143.2326,25.02,97,100,7.83
132,Airai,TL,2022-03-18 20:49:17,-8.9266,125.4092,60.19,90,91,1.92
133,Ponta Do Sol,PT,2022-03-18 20:49:17,32.6667,-17.1,62.06,74,100,0.67
134,Ahipara,NZ,2022-03-18 20:49:17,-35.1667,173.1667,65.35,85,77,3.62
135,Muscat,OM,2022-03-18 20:49:18,23.6139,58.5922,78.82,55,0,13.18
136,Hambantota,LK,2022-03-18 20:49:18,6.1241,81.1185,78.19,86,6,12.35
137,Nikolskoye,RU,2022-03-18 20:49:18,59.7035,30.7861,35.49,92,5,4.83
138,Pedernales,DO,2022-03-18 20:49:19,18.0384,-71.744,84.36,55,86,8.08
139,Coolum Beach,AU,2022-03-18 20:49:19,-26.5333,153.1,69.33,93,85,12.5
140,Cherskiy,RU,2022-03-18 20:49:19,68.75,161.3,-16.08,94,25,5.26
141,Niort,FR,2022-03-18 20:50:20,46.3333,-0.3333,52.72,67,97,5.99
142,Lorengau,PG,2022-03-18 20:48:34,-2.0226,147.2712,82.56,75,48,7.45
143,Makat,KZ,2022-03-18 20:50:20,47.6469,53.3463,11.79,81,10,9.22
144,Joshimath,IN,2022-03-18 20:50:20,30.5667,79.5667,54.75,43,95,9.35
145,Pisco,PE,2022-03-18 20:50:21,-13.7,-76.2167,75.25,69,0,8.05
146,Castro,BR,2022-03-18 20:48:42,-24.7911,-50.0119,69.22,93,100,3.89
147,Luderitz,NA,2022-03-18 20:50:21,-26.6481,15.1594,71.11,60,63,6.44
148,Constantine,DZ,2022-03-18 20:50:21,36.365,6.6147,49.41,93,75,3.44
149,Verkh-Usugli,RU,2022-03-18 20:50:21,52.7,115.1667,3.49,98,100,1.05
150,Kudahuvadhoo,MV,2022-03-18 20:50:22,2.6708,72.8944,82.98,72,5,15.05
151,Nanortalik,GL,2022-03-18 20:49:50,60.1432,-45.2371,18.54,66,30,2.55
152,Igarka,RU,2022-03-18 20:50:22,67.4667,86.5833,18.7,96,89,9.37
