City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Grenaa,DK,55.62,clear sky,56.4158,10.8783,Hotel Marina
289,Matagami,CA,30.31,light snow,49.7502,-77.6328,Hôtel Matagami
298,Codrington,AU,55.22,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
305,Guaymas,MX,52.97,clear sky,27.9333,-110.9,"Holiday Inn Express Guaymas, an IHG Hotel"
306,Shelbyville,US,50.72,clear sky,35.4834,-86.4603,Best Western Shelbyville Inn And Suites Celebration Inn
309,Vila Franca Do Campo,PT,57.61,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
321,Gravdal,NO,31.89,broken clouds,68.1214,13.5031,Skreda Rorbusuiter
326,Gazanjyk,TM,52.03,clear sky,39.2446,55.5154,Railway motel
327,Zhicheng,CN,57.78,overcast clouds,30.2956,111.5047,Wangjiang Building
331,Kaitangata,NZ,49.78,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
333,Matthews,US,55.54,clear sky,35.1168,-80.7237,"Holiday Inn Express & Suites Charlotte Southeast - Matthews, an IHG Hotel"
337,Torbay,CA,33.76,fog,47.6666,-52.7314,Gallows Cove
344,Korla,CN,49.84,clear sky,41.7597,86.1469,Gulisitan Hotel
347,Krasnyy Yar,RU,48.13,overcast clouds,46.5331,48.3456,Cottege near Ufa
348,North Bend,US,49.91,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
349,Hamilton,US,37.98,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
350,La Salle,US,30.81,overcast clouds,41.3334,-89.0918,Days Inn by Wyndham Oglesby/ Starved Rock
353,Neftcala,AZ,47.01,broken clouds,39.3742,49.2472,Otel restoran
365,Hermitage,US,36.63,broken clouds,41.2334,-80.4487,Econo Lodge
371,Mishan,CN,32.18,clear sky,45.55,131.8833,Mishan Hotel
374,Dahra,DZ,58.75,few clouds,36.2546,0.8519,Ein Mtabol
376,Lawrenceburg,US,45.0,scattered clouds,38.0373,-84.8966,Best Western Lawrenceburg Inn
386,Montague,US,53.19,few clouds,42.5356,-72.5351,Two Rivers Bed and Breakfast
415,Kokkola,FI,31.03,clear sky,63.8385,23.1307,Hotel Kokkola
419,Blind River,CA,32.11,overcast clouds,46.1834,-82.9582,Auberge Eldo Inn
421,Bonavista,CA,30.85,snow,48.6499,-53.1147,Sweet Sharons bnb
429,Fort-Shevchenko,KZ,40.69,overcast clouds,44.5086,50.263,Oasis hotel Bautino
430,Lianzhou,CN,58.69,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
431,Sarkand,KZ,43.65,overcast clouds,45.41,79.9186,Гостиница Сарканд
434,Laguna,US,57.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
439,Vestmanna,FO,45.52,overcast clouds,62.1564,-7.1664,Vestmanna Camping
445,Port Hawkesbury,CA,45.91,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
448,Misawa,JP,56.61,overcast clouds,40.6836,141.3597,Hoshino Resorts Aomoriya
451,Prince Rupert,CA,40.69,overcast clouds,54.3161,-130.3201,Crest Hotel
453,Soma,TR,52.16,clear sky,39.1855,27.6094,Hotel Labella
